source_id,source_name,source_category,owner_organization,base_url,list_urls,coverage_region,data_types,source_role,original_or_aggregator,official_source_priority,login_required,robots_status,terms_status,commercial_use_status,rendering_type,api_or_xhr_status,pagination_type,update_frequency,sample_fields,contact_fields_available,organizer_fields_available,official_event_url_available,procurement_information_available,historical_event_available,technical_grade,legal_operational_grade,business_value_grade,implementation_priority,audit_status,evidence_urls,existing_audit_reference,audit_date,notes
mice_or_kr,마이스워크넷,NATIONAL_PUBLIC_MICE,(사)부산관광마이스진흥회,https://mice.or.kr/,https://www.mice.or.kr/bbs/board.php?bo_table=event|https://www.mice.or.kr/bbs/board.php?bo_table=announcement,전국(부산 중심 게시),MICE_EVENT|MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL|SALES_LEAD,PRIMARY_OFFICIAL,AGGREGATOR_WITH_SOURCE_LINKS,4,False,ALLOW_EXCEPT_ADM_INSTALL,COPY_RESTRICTED_WITHOUT_PRIOR_APPROVAL,INTERNAL_USE_CAUTION_NO_REPUBLISH,SSR_HTML,NONE_OBSERVED,GET_PAGE,BOARD_POSTING,title|period|time|venue|body|source_homepage,False,False,True,True,True,A,B,B,P0,INHERITED_EXISTING_AUDIT,docs/mice-source-feasibility-audit.md|logs/mice-feasibility-audit/,docs/mice-source-feasibility-audit.md,2026-07-15,Existing single grade A kept as technical_grade. Legal B due to copy restriction in terms. No re-crawl of robots/sitemap in landscape phase.
k_mice,K-MICE (Korea Beyond Meetings),NATIONAL_PUBLIC_MICE,한국관광공사(KTO),https://k-mice.visitkorea.or.kr/,https://k-mice.visitkorea.or.kr/miceCalendar.kto?func_name=list|https://k-mice.visitkorea.or.kr/convention_kr/guidehtml/mice07_5_cvb.jsp,전국,MICE_EVENT|MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL,PRIMARY_OFFICIAL,OFFICIAL_AGGREGATOR,4,False,DISALLOW_SEARCH_ONLY,KTO_COPYRIGHT_RSS_AVAILABLE,INTERNAL_USE_POLITE_CRAWL,SSR_HTML_FORM_POST,NONE_OBSERVED_PUBLIC_JSON,POST_CURR_PAGE,CALENDAR_CONTINUOUS,name_ko|name_en|category|period|organizer|region|venue|official_website,False,True,True,True,True,A,B,A,P0,INHERITED_EXISTING_AUDIT,docs/mice-source-feasibility-audit.md|logs/mice-feasibility-audit/,docs/mice-source-feasibility-audit.md,2026-07-15,Inherited A; implement detail via public HTML form POST calView (not private API). Existing note: POST dependency may need B verification at implementation time without changing inherited technical A unless new failure evidence.
myfair,마이페어,COMMERCIAL_PLATFORM,주식회사 마이페어,https://myfair.co/,https://myfair.co/exhibition-list?v=1&zn=1,글로벌(해외박람회 중심),MICE_EVENT|EXHIBITOR_RECRUITMENT|SALES_LEAD,COMMERCIAL_AGGREGATOR,COMMERCIAL_AGGREGATOR,6,False,ALLOW_WITH_PATH_DISALLOWS_INCL_TERM_USE,PRIOR_APPROVAL_REQUIRED_FOR_REPRODUCTION,PARTNERSHIP_REQUIRED,NEXT_SSR_HTML,NO_PUBLIC_API_OBSERVED,FILTER_ZN_APP_UI,SITEMAP_DAILY,fair_name|period|country|booth_cta|member_insights_gated,False,False,False,False,False,B,C,C,HOLD,INHERITED_EXISTING_AUDIT,docs/mice-source-feasibility-audit.md|logs/mice-feasibility-audit/,docs/mice-source-feasibility-audit.md,2026-07-15,Inherited overall C maps to legal C + HOLD. Technical noted as Next HTML capable (B). Not used as canonical schedule source.
opendata_kintex_gg,경기도 공공데이터 KINTEX 행사 일정,NATIONAL_PUBLIC_MICE,경기도 / KINTEX 연계 공개데이터,https://www.data.go.kr/data/15119881/fileData.do,https://www.data.go.kr/data/15119881/fileData.do|https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=TM03IWAWFH17G6VM827729982969&infSeq=1,경기(KINTEX),MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,OFFICIAL_OPEN_DATA,3,False,PORTAL_PUBLIC_DOWNLOAD,PUBLIC_DATA_PORTAL_TERMS,PUBLIC_DATA_LICENSE_CHECK_REQUIRED,FILE_DOWNLOAD_CSV,FILE_OR_PORTAL_URL,FILE,수시(포털 표기),행사명|기간|장소|주최주관|전화팩스|홈페이지,True,True,True,False,True,A,A,A,P0,NEWLY_AUDITED,https://www.data.go.kr/data/15119881/fileData.do|logs/mice-landscape-sample/data_gg_kintex.txt,,2026-07-15,Portal metadata claims CSV with organizer contacts and homepage. Prefer over site scrape where license permits.
kintex,KINTEX 행사일정,VENUE,KINTEX,https://www.kintex.com/,https://www.kintex.com/web/ko/event/clist.do|https://www.kintex.com/web/ko/event/clist.do?searchType=11,경기,MICE_EVENT|ORGANIZER_SIGNAL|EXHIBITOR_RECRUITMENT,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,ALLOW_EXCEPT_ADMIN_LOGIN_SITEMAP_DECLARED,NOT_FULLY_REVIEWED,INTERNAL_USE_POLITE_CRAWL,SSR_HTML,NONE_CONFIRMED,SITE_LIST_FILTERS,VENUE_SCHEDULE,event_name|period|hall|organizer_hints,False,True,True,False,True,A,B,A,P0,NEWLY_AUDITED,logs/mice-landscape-sample/kintex_robots.txt|logs/mice-landscape-sample/kintex_clist.txt|logs/mice-landscape-sample/kintex_clist_ex.txt,,2026-07-15,Legacy /exhibition/schedule.asp returned 400; current list is /web/ko/event/clist.do. Sitemap URL returned 400 in sample client.
coex,COEX 행사일정,VENUE,코엑스(COEX),https://www.coex.co.kr/,https://www.coex.co.kr/,서울,MICE_EVENT|PARTICIPANT_RECRUITMENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,ALLOW_EXCEPT_WP_ADMIN_UPLOADS_SITEMAP,NOT_FULLY_REVIEWED,INTERNAL_USE_POLITE_CRAWL,SSR_HTML_WP,ADMIN_AJAX_ALLOWED_IN_ROBOTS,SITE_UI,VENUE_SCHEDULE,event_name|period|ticket_signals,False,False,True,True,True,B,B,A,P0,PARTIAL,logs/mice-landscape-sample/coex_robots.txt|logs/mice-landscape-sample/coex_home.txt,,2026-07-15,Home confirms live schedule cards; dedicated list URL adapter still needed (detail pages not exhaustively sampled).
bexco,BEXCO 행사일정,VENUE,벡스코,https://www.bexco.co.kr/,https://www.bexco.co.kr/kor/CMS/EventScheduleMgr/list.do?mCode=MN214,부산,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,DISALLOW_ALL_EXCEPT_ROOT,NOT_FULLY_REVIEWED,HOLD_PENDING_ROBOTS_CLARIFICATION,SSR_HTML,NONE_CONFIRMED,SITE_FILTERS,VENUE_SCHEDULE,event_name|period|hall|status,False,False,True,True,True,A,C,A,HOLD,NEWLY_AUDITED,logs/mice-landscape-sample/bexco_robots.txt|logs/mice-landscape-sample/bexco_sched.txt,,2026-07-15,"HTML schedule is rich, but robots Disallow:/ Allow:/$ only — automated crawl held until permission/clarification."
songdo_convenia,송도컨벤시아 행사일정/OpenAPI,VENUE,인천관광공사(송도컨벤시아),https://songdoconvensia.visitincheon.or.kr/,https://songdoconvensia.visitincheon.or.kr/page/schedule.do|https://songdoconvensia.visitincheon.or.kr/page/openApiEvent.do,인천,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED_THIS_PASS,OPENAPI_KEY_REGISTRATION_INDICATED,OPENAPI_AFTER_KEY_APPROVAL,VUE_SPA_SHELL_PLUS_OPENAPI,PUBLIC_OPENAPI_DOCUMENTED_JSON_XML_KEY_REQUIRED,CALENDAR_UI_OR_API,VENUE_SCHEDULE,event_type|period|excel_download_hint|openapi_fields,False,False,True,False,True,A,B,A,P0,NEWLY_AUDITED,logs/mice-landscape-sample/songdo_sched.txt|logs/mice-landscape-sample/songdo_openapi.txt,,2026-07-15,Prefer OpenAPI after key approval over scraping Vue schedule. Page documents json/xml result types and API key status codes.
exco,EXCO(대구) ,VENUE,EXCO,https://www.exco.co.kr/,https://www.exco.co.kr/,대구,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,FETCHED_SAMPLE,NOT_FULLY_REVIEWED,INTERNAL_USE_POLITE_CRAWL,SSR_HTML,UNKNOWN,UNKNOWN,VENUE_SCHEDULE,home_has_events_procure_hints,False,False,True,True,True,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/exco_robots.txt|logs/mice-landscape-sample/exco_home.txt,,2026-07-15,Guessed EventScheduleMgr URL 404; need confirmed list URL from site nav before adapter.
dcc,대전컨벤션센터(DCC),VENUE,대전관광공사/DCC,https://www.dcckorea.or.kr/,https://www.dcckorea.or.kr/,대전,MICE_EVENT|MICE_TENDER|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,VENUE_SCHEDULE,home_org_procure_hints,False,False,True,True,True,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/dcc_home.txt,,2026-07-15,Home reachable; schedule endpoint not isolated in this pass.
